x,approx_1_neurons,approx_2_neurons,approx_3_neurons,approx_4_neurons,approx_5_neurons,original
0.033333333333333215,1.0683557,1.3215461,1.1926055,1.191894,1.2038906,1.1997912462069884
0.05555555555555558,1.596216,1.4653354,1.3204627,1.3220181,1.3363607,1.3313470339709632
0.07777777777777772,1.76984,1.5968595,1.4459577,1.4498811,1.4653966,1.4600429398000476
0.09999999999999987,1.830287,1.7148337,1.5679584,1.5742612,1.5896573,1.5845964566798498
0.12222222222222223,1.8597934,1.818645,1.6853642,1.6939588,1.7079358,1.7037830124556765
0.14444444444444438,1.8771265,1.9082484,1.7971177,1.8078027,1.8191714,1.816451226315341
0.16666666666666652,1.8884995,1.9840617,1.9021983,1.9146543,1.9224572,1.9215372660616823
0.18888888888888888,1.8965259,2.0468173,1.9996467,2.0134416,2.0170321,2.01807812918447
0.21111111111111103,1.9024897,2.0974784,2.088573,2.103147,2.1022696,2.1052236840159
0.2333333333333334,1.907094,2.137136,2.1681619,2.1828618,2.177669,2.1822473225475565
0.25555555555555554,1.9107554,2.1669288,2.2376962,2.2517648,2.2428327,2.248555093610837
0.2777777777777777,1.9137363,2.187982,2.2965636,2.3091874,2.2974544,2.3036932038664286
0.30000000000000004,1.9162099,2.2014003,2.3442636,2.3546052,2.341312,2.3473537941800577
0.3222222222222222,1.9182956,2.2081943,2.3804355,2.3876786,2.37425,2.3793789202333393
0.34444444444444433,1.9200778,2.2093043,2.4048624,2.4082723,2.3961864,2.399762688367701
0.3666666666666667,1.9216185,2.2055736,2.4174762,2.4164853,2.4071107,2.4086515204128367
0.38888888888888884,1.9229631,2.1977668,2.4183798,2.4126496,2.4071016,2.4063425443284694
0.411111111111111,1.9241474,2.1865401,2.4078555,2.3973565,2.3963351,2.3932801306046247
0.43333333333333335,1.9251978,2.172483,2.3863516,2.3714337,2.3751159,2.370050617236135
0.4555555555555555,1.9261365,2.1561027,2.3545074,2.33594,2.3438973,2.337375288429607
0.47777777777777786,1.9269798,2.137838,2.3131318,2.2921147,2.3033123,2.2961016937400394
0.5,1.9277418,2.1180587,2.263206,2.2412972,2.2541933,2.2471934148040846
0.5222222222222221,1.9284337,2.0971007,2.2058702,2.1848798,2.1975856,2.191718405985068
0.5444444444444445,1.9290648,2.075235,2.1424026,2.1241841,2.1347513,2.130836052835261
0.5666666666666667,1.9296427,2.0526862,2.074204,2.0604215,2.0671453,2.065783108096515
0.5888888888888888,1.9301736,2.0296683,2.002767,1.9946427,1.996386,1.997858678806219
0.6111111111111112,1.9306636,2.0063376,1.9296546,1.9277787,1.9241886,1.9284084497808498
0.6333333333333333,1.9311166,1.9828353,1.8564625,1.8607163,1.8523111,1.8588083381697937
0.6555555555555554,1.9315372,1.9592834,1.7847972,1.7943711,1.782475,1.7904477807914154
0.6777777777777778,1.9319284,1.9357734,1.7162299,1.7298036,1.7162995,1.7247128604950714
0.7,1.9322932,1.9123855,1.6522927,1.6682439,1.655251,1.6629694797808567
0.7222222222222221,1.9326344,1.8891997,1.5944185,1.6110864,1.6006112,1.6065467893289727
0.7444444444444445,1.9329541,1.8662543,1.5439525,1.5598168,1.5534625,1.556721075949799
0.7666666666666666,1.9332541,1.8435988,1.5021024,1.5159574,1.5146942,1.5147003088027353
0.788888888888889,1.9335364,1.8212676,1.4699497,1.4809537,1.4850259,1.4816095346166016
0.8111111111111111,1.9338024,1.799295,1.4484215,1.4561315,1.4650326,1.4584773021768263
